Antigen	Genes
Aire	['Eapp', 'Arl4d', 'Taf12', 'Gmeb1', 'Tex14', 'Cldn34d', 'Zc3h12d', 'Chmp7', 'Rdm1', 'Calcb', 'Faf1', 'Cdkn2c', 'Pole3', 'Alad', '4933430I17Rik', 'Tmem107', 'Gpn3', 'Fam216a', 'Gtf3c5', 'Slc12a4', 'Timm13', 'Lmnb2', 'Utp14b', 'Acsl3', 'Lpcat3', 'Xpnpep3', 'St13', 'Dnajb7', 'Tnfrsf8', 'Cdc42ep2', 'Sprr2a3', 'Ier3', 'Flot1', 'Slc20a1', 'Stat1', 'Skint9', 'Tnfaip3', 'Isg20', 'Brox', 'Aida', 'Nme1', 'Kif2c', 'Cops8', 'Gm4791', 'Slc9a9', 'Atp13a2', 'Tbck', 'Aimp1', 'Pmm1', 'Wrb', 'Sprr2a2', 'Sprr2a1', 'U2surp', 'Dnajc16', 'Casp9', 'Ccnt1', '4930415O20Rik', 'Alyref2', 'Arid3a', 'Rbbp8', 'Slc5a9', 'Med6', 'Prrt2', 'Pagr1a', 'Maz', 'Taf9', 'Rad17', 'Ak6', 'Serpina3j', 'Supv3l1', 'Otud6b', 'Il15', 'Kcnn1', 'Ccdc124', 'Arhgap11a', 'Ppfibp2', 'Psmd1', 'Eif3d', 'Rbbp5', 'Clptm1', 'Apoc2', 'Klhl18', 'Kif9', 'Erlin1', 'Hivep1', 'Rnf7', 'Dhx16', 'Slc25a12', 'Ppp4r3b', 'Gm3448', 'Gm3417', '9030025P20Rik', 'Vta1', 'Pdap1', 'Bud31', 'Ndufa9', 'Akap3', 'Gm7244', 'Slc35b1', 'Farsb']
Anp32e	['Cldn34d', 'Brox', 'Aida', 'E030030I06Rik', 'Nkx2-6']
Ar	['Ndfip1', 'Wfdc6a', 'Spint3', 'Tmem150c', 'Bcl2l15', 'Ackr1', 'Arhgap8', 'Rnase12', 'Rnase11', 'Nat2', 'Nat1', 'Slc14a2', 'Ugt2a1', 'Prnd', 'Kdm7a', 'Napa', 'Galnt10', 'Arhgap10', 'Morc1', 'Plin5', 'Gdf2', 'Sesn1', 'Plin4', 'Rcn1', 'Ptpn22', 'Pnrc2', 'Cdkn1a', 'Olfr523', 'Ptgds', 'Ttpal', 'Sestd1', 'Hhat', 'Chrdl2', 'Cldn2', 'Ripply1', 'Npvf', 'Ccl17', 'Glb1l2', 'Polr3d', 'Piwil2', 'Ubqln1', 'Plekha3', 'Fkbp7', 'Nsdhl', 'Cetn2', 'Sult1d1', 'Chil3', 'Comtd1', 'A430057M04Rik', 'Gng7', 'Slc6a5', 'Wbp1l', 'Mlh3', 'Prdm4', 'Efcab2', 'Nup93', 'Noct', 'Kcnk1', 'Ift140', 'Cramp1l', 'Arrdc2', 'Rad21', 'Pdxdc1', 'Mpv17l', 'Clec9a', 'Rabggta', 'Adh6b', 'Kbtbd8', 'Ubiad1', 'Cldn34d', 'Greb1', 'Slc25a13', 'Rab5if', 'Ggnbp1', 'Bak1', 'Abca6', 'Midn', 'Cbarp', 'Atp5d', 'Suox', 'Nf2', 'Hif3a', 'Gkap1', 'Lekr1', 'Atp11a', 'Sgk3', 'Tmem125', 'Tbl1xr1', 'Defb43', 'Fam133b', 'Cradd', 'Sra1', 'Slc35a4', 'Apbb3', 'Lrg1', 'Artn', 'Cdc37l1', 'Lpin1', 'Srrt', 'Ufsp1']
Arid1a	['Cldn34d', 'Elobl', 'Coil', 'Zfp979', 'Zfp600', 'Greb1', 'Fbxo22', 'Hexb', 'Nfat5', 'H2al2a', 'Klf2', 'F13b', 'Brox', 'Aida', 'Ankrd6', 'Tesk2', 'Txndc11', 'Rnf138', 'Fam98a', 'Fbxw4', 'Zfp980', 'Sap30', 'Kdm4c', 'Kat2b', 'Pipox', 'Btn2a2', 'Id4', 'Olfr1274', 'Nufip2', 'Kpna1', 'Gpa33', 'Dusp27', 'C130073F10Rik', 'Slco4c1', 'Natd1', 'Rex2', 'Mup4', 'Nkx2-6', 'Pcdhgb8', 'Pcdhga12', 'Casq2', 'Zgrf1', 'Larp7', 'Urm1', 'Zfp987', 'Cdc42ep3', 'Zfp991', 'Vmn2r85', 'Vmn1r1', 'Lysmd3', 'Glrx2', 'Gja1', 'Olfr339', 'Gli2', 'Akr1c18', 'Smad7', 'Wwox', 'Tdrd12', 'Hsd3b4', 'Gm10681', 'Tcf7l1', 'Kdm3a', 'Pes1', 'Syt3', '1700008O03Rik', 'Twistnb', 'Olfr147', 'Tdh', 'Gm4450', 'Adcy5', 'Macroh2a1', 'Adrb3', 'B3gnt2', 'Zfp985', 'Itgb3', 'Vmn1r238', 'Xkr4', 'Lce1k', 'Zfp534', 'Zfp1', 'Rbmxl2', 'Atf6', 'Reep3', 'Olfr1431', 'Arhgef18', 'Abcg2', 'Anxa11', 'Trim13', 'Kcnrg', 'Fn1', 'Rps19', 'Lypd4', 'Dmrtc2', 'Cyp1b1', 'Olfr806', 'E030030I06Rik', 'Zfp982', 'Gm14325', '1700019D03Rik', 'Zmym1']
Arid3a	['Smim17', 'Npas4', 'Cacng2', 'Nkx1-1', 'Swsap1', 'Zfp994', 'Glra1', 'Lin28a', 'Mc3r', 'Xkr7', 'Iqsec3', 'Celsr3', 'Ppfibp2', 'Scrt1', 'Ttyh2', 'Rpl38', 'Snap25', 'Crhr2', 'Rbm25', 'Cd300e', 'Cd300ld3', 'Ogt', 'Kpna1', 'Barhl1', 'Fam227a', 'Cby1', 'Txndc11', 'Gprin1', 'Sh3gl1', 'Chaf1a', 'Vstm2l', 'Uqcrc1', 'Cacng3', 'Tas1r3', 'Ints11', 'Cptp', 'Dlgap3', 'Tmem98', 'Ripply2', 'Cyb5r4', 'Naip2', 'Cldn34d', 'Mrpl58', 'Kctd2', 'Atp5h', 'Il31ra', 'Cadm3', 'Ruvbl2', 'Gys1', 'Endov', 'Golga7b', 'Lypd11', 'Rtbdn', 'Mast1', 'Zfp317', 'Grhl3', 'LOC666331', 'Gm11634', 'Polr2e', 'Olfr748', 'Lrrc61', 'Fbxo21', 'Armc5', '9130023H24Rik', 'Cwc22', 'Uspl1', 'LOC547349', 'H2-L', 'H2-D1', 'Snrpc', 'Ppp6c', 'Rdm1', 'Dcp1a', 'Ormdl3', 'Smim11', 'Kcne2', 'Knop1', 'Iqck', 'Twistnb', 'Gm3448', 'Gm3417', 'Rmdn3', 'Sspn', 'Med27', 'Mapk8ip2', 'Kntc1', 'Tcte3', 'Ermard', 'Ambra1', '3300002I08Rik', 'Gpkow', 'Gnrhr', 'Gm3435', 'Lonp1', 'Catsperd', 'Hexim2', 'Psmb2', 'Tfpt', 'Prpf31', 'Icam5']
Arid4b	['Txndc11', 'Cldn34d', 'Tmem125', 'Brox', 'Aida', 'Kpna1', 'E030030I06Rik', 'Nkx2-6', 'Csnk1d']
Arntl	['Cldn34d', 'Brox', 'Aida', 'Tmem125', 'Bhlhe41', 'Nr1d1', 'Nr1d2', 'Tef', 'Tulp4', '1810013L24Rik', 'Rmnd1', 'Armt1', 'E030030I06Rik', 'Txndc11', 'Ciart', 'BC028528', 'Vamp2', 'Per1', 'Cry2', 'Per2', 'March8', 'Ap5s1', 'Atxn3', 'Avpi1', 'Cry1', 'Eif5a2', 'Gmfb', 'Cgrrf1', 'Mthfd1l', 'Ptprs', 'Ankrd12', 'Tspan4', 'Polr2l', 'Cd151', 'Fam25c', 'Tbcel', 'Lamp1', 'Mfsd1', 'Rorc', 'C2cd4d', 'Per3', 'Slc27a2', 'Gnpnat1', 'Fbxl22', 'AW549877', 'Klf11', 'Zfp292', 'Aven', 'Mapk6', 'Hmgn2', 'Gpi1', 'Klf9', 'Serinc4', 'Serf2', 'Hypk', 'Ell3', 'Fam76a', 'Zzz3', 'Shkbp1', 'Bnip3', 'Hif1a', 'Bhlhe40', 'Atp6v0c', 'Amdhd2', 'Ube2q1', 'Chrnb2', 'Fabp3', 'Dbp', 'Car11', 'Hlf', 'Kdm6b', 'Slc8b1', 'Plbd2', 'Sphk2', 'Ddx50', 'Pcbp1', 'Vps26a', 'Ncl', 'Klf16', 'Nup50', 'Phf23', 'Gabarap', 'Dvl2', 'Zcwpw1', 'Ppp1r35', 'Mepce', 'Foxo3', 'Mcidas', 'Ccno', 'Jade1', 'Tet3', 'Prr3', 'Abcf1', 'Crebrf', 'Eps15l1', 'Fbxo30', 'Rsad1', 'Tomm20', 'Sertad1', 'Ccdc88c']
Ascl1	['Zfp69', 'Exosc9', 'Lmod3', 'Efcab5', 'Ube2l3', 'Rimbp3', 'Insm1', 'Arpp21', 'Stk33', 'Tecr', 'Hpca', 'Tmem54', 'Ntsr2', 'Timm50', 'Dll3', 'Ptar1', 'Pomt2', 'Gstz1', 'Fam83h', 'Iqank1', 'Ampd3', 'Repin1', 'Gm5111', 'Znrf3', 'Wscd2', 'Pdzrn4', 'Hipk2', 'Ero1l', 'Psmc6', 'Wdr62', 'Clip3', 'Psmg2', 'Cep76', 'Ppfibp2', 'Rrp7a', 'Lzts1', 'Wfdc11', 'Kctd14', 'Traf4', 'Tsnaxip1', 'Ranbp10', 'Hdac7', 'Tespa1', 'Dll1', 'Hes6', 'Krtap13-1', 'Tmc3', 'Hook2', 'Myt1', 'Rap1gap', 'Prdm10', 'Smug1', 'Plekhb1', 'Krt83', 'Tctex1d4', 'Plk3', 'Mthfd1l', 'Adcyap1r1', 'Tmem255b', 'Pnmal2', 'Nt5c2', 'Ina', 'Casp14', 'Ndc1', 'Tkt', 'Cacnb2', 'Kcnab2', 'Prkn', 'Pacrg', 'A930009A15Rik', 'Cdc25b', 'Ccdc126', 'Dok7', 'Gpr142', 'Btbd17', 'Cd276', 'Cdk2ap1', 'Coro2b', 'Trim2', 'Tmbim1', 'Nudt18', 'Tcf12', 'Thbs2', 'Fam110a', 'Rab17', 'Hilpda', 'Zfp853', 'Gnaq', 'Smim38', 'Kank2', 'Gm9508', 'Gm19402', 'Tspear', 'Invs', 'Erp44', 'Ube2g2', 'Wdr95', 'Olfr1331', 'Galr3', 'Crip2']
Ascl2	['D430041D05Rik', 'Lmnb2', 'Cd69', 'Lrp11', 'Greb1', 'Cldn34d', 'Spo11', 'Timp2', 'Cep295nl', 'Ksr1']
Ash1l	['Cldn34d', 'Brox', 'Aida', 'E030030I06Rik']
Ash2l	['Stat3', 'Cldn34d', 'Nlrp10', 'Eif3f', 'Atp2b4', 'Rps26', 'Ano8', 'Hps5', 'Gtf2h1', 'Lsg1', 'Adamts6', 'Pcif1', 'Ndufb3', 'Fam126b', 'Fbxo21', 'Sfpq', 'Rnf19b', 'Zfp869', 'Nub1', 'Fabp2', 'Cfap46', 'Timm9', '2700049A03Rik', 'Cyp7b1', 'Mrps31', 'Scml4', 'Zbtb20', 'Nfyc', 'Ranbp2', 'Lancl2', 'Unk', 'H3f3b', 'Znhit3', 'Tcf3', 'Rag2', 'B230118H07Rik', 'Psmd1', 'H4c6', 'H1f3', 'H3c6', 'H2bc8', 'H2ac8', 'Arhgap32', 'H1f6', 'H4c3', 'Gast', 'Ppp2r2a', 'Zfp933', 'Ssu72', 'Xrcc5', 'Ap1g1', 'Ripk2', 'Tardbp', 'Ttc30b', 'Brox', 'Aida', 'Haus1', 'Atp5a1', 'Hnrnpm', 'Rpn2', 'Mroh8', 'Isg15', 'Agrn', 'Zfp866', 'Srsf6', 'Fra10ac1', 'Cfap298', 'Anapc10', 'Abce1', 'Fus', 'Tnrc6a', 'Eif4h', 'Klhl24', 'Supt7l', 'Slc4a1ap', 'H4c11', 'Slc35e2', 'Samd9l', 'Abca1', 'Tssk2', 'Tssk1', 'Dgcr2', 'Rab14', 'Raver1', 'E030030I06Rik', 'Ube2j2', 'Snx15', 'Sac3d1', 'Ttc39d', 'Kidins220', 'Plgrkt', 'Cd274', 'Hnrnpa0', 'Wrn', 'Purg', 'Olfr972', 'Oaz1', 'H3c7', 'H2bc9', 'H3c8']
Asxl1	['Ino80', 'Epc1', 'Nfyc', 'Efcab2', 'Hnrnpm', 'Zranb2', 'Zfp869', 'Cwc22', 'Txndc11', 'Ap1g1', 'Tia1', 'Pcyox1', 'Pskh1', 'Nrn1l', 'Taf9', 'Rad17', 'Ak6', 'Pcif1', 'Klhl24', 'Kmt5b', 'Wbp11', 'BC049715', 'Smco3', 'Cnbp', 'Cldn34d', 'Slc35b1', 'Gabpb1', 'Gbe1', 'Ube2l3', 'Rimbp3', 'Ythdf3', 'Gigyf2', 'Ddx17', 'Arrdc3', 'Birc3', 'S100a1', 'S100a13', 'Chtop', 'Smim10l1', 'Gosr1', 'Sdhaf2', 'Cpsf7', 'Ppp2r2a', 'Pcm1', 'Atrx', 'Raf1', 'Vcp', 'Fancg', 'Anapc10', 'Abce1', 'Rbm39', 'Stam', 'Zc3h6', 'Trim39', 'AW549877', 'Hexim2', 'Zfp866', 'Rpl21', 'Zfp335', 'Tax1bp1', 'Spag6', 'Ywhae', 'Atp6v1g1', 'Zfp507', 'Eprs', 'Nemf', 'E4f1', 'Zfx', 'Pcbp1', 'Iws1', 'Map3k2', 'Pnisr', 'Zbtb21', 'Cfap300', 'Psmg2', 'Cep76', 'Nr4a2', 'Celf2', 'Brox', 'Aida', 'Dtnbp1', 'Btg3', 'Zfp1', 'Sit1', 'Ccdc107', 'Aimp1', 'Tbck', 'Rptor', 'Srsf5', 'Sf3b1', 'Nfkb2', 'Mettl4', 'Rps29', 'Lrr1', 'Sspn', 'Srsf6', 'Napepld', 'Kpna1', 'Tardbp', 'Elk4']
Atf2	['Tas2r143', 'Tas2r135', 'Creb5', 'Mrpl16', 'Shisa4', 'Cic', 'Rpl26', 'Kctd5', 'Znrd1as', 'Znrd1', 'Rnf39', 'Ppp1r11', 'Dusp16', 'Shcbp1', 'Epgn', 'Jun', 'Rab30', 'Znrf4', 'Actr1b', '4933424G06Rik', 'Mrpl48', 'Rad23a', 'Gadd45gip1', 'Calr', 'Ppp2r5b', 'Gpha2', 'Atg2a', 'Trip6', 'Srrt', 'Raf1', 'Dhrs7b', 'Gng7', 'Crebzf', 'Jund', 'Iqcn', 'Cwc22', 'Elmsan1', 'Lamc2', 'Clcn4', 'Rhbdf2', 'Txnl4b', 'Stk38l', 'Dhx38', 'Clcn3', 'Ube2h', 'Ubn2', 'Dusp10', '1700056E22Rik', 'Slc25a25', 'Rpp38', 'Acbd7', 'Zfp869', 'Mri1', 'D8Ertd738e', 'Greb1', 'Naif1', 'Postn', 'Xpnpep1', 'Braf', 'Pdcl3', 'Rbm28', 'Zc3h4', 'Kmt2e', 'Amn1', 'Tecpr2', 'Cinp', 'Limk1', 'Sra1', 'Slc35a4', 'Apbb3', 'Shf', 'Ing4', 'Timm22', 'Nxn', 'Zfp457', 'Zfp335', 'Bsdc1', 'Xkr6', 'Mxd1', 'Capn2', 'Daam1', 'Apol6', 'Dync1li2', 'Zfp874a', 'Galk2', 'Cops2', 'Adamts1', 'Ubb', 'Fam53c', 'Cdc25c', 'Rpl9', 'Lias', 'Coq7', 'Ing3', 'Zfp458', 'Ctnnd1', 'Btbd18', 'Zfp91', 'Lpxn', 'Ammecr1l']
Atf3	['Greb1', 'Cldn34d', 'Txndc11', 'Nkx2-6', 'Muc3', 'Brox', 'Aida', 'Treml1', 'Trem2', 'Stk40', 'Lsm10', 'Prss56', 'Chrnd', 'Herpud1', 'Itga5', 'Gm42372', 'Nek4', 'Itih1', 'Nudt13', 'Cass4', 'Tbc1d31', 'Sez6l2', 'Asphd1', 'Agfg1', 'Eif4ebp1', 'Tmcc3', 'Tspan31', 'March9', 'Cdk4', 'BC030867', 'Chst3', 'Ier5', 'Dot1l', 'Ap3d1', 'Nav1', 'Abhd6', 'Mall', 'Fscn2', 'Phc2', 'Gsdme', 'Tctex1d4', 'Olfr432', 'Cyth4', 'Olfr806', 'Shisal2a', 'Gm9573', 'Zfand2a', 'Bhlha15', 'Opa3', 'Gdf3', 'Crebzf', 'Slc7a5', 'BC048644', 'Kpna1', 'Siglecg', 'Stap1', 'Taf8', 'Ccnd3', 'Anxa5', '1810062G17Rik', 'Gtf3c5', 'Coa3', 'Cntd1', 'Elmsan1', 'Atf3', 'Gda', 'E030030I06Rik', 'Slfn10-ps', 'Slc45a4', 'Creb5', 'Rrm2b', 'Npas4', 'Pkd1l2', 'Mr1', 'Rabggta', 'Jazf1', 'Trib3', 'Htra3', 'Tmem125', 'Accs', 'Arhgef7', 'Arhgap22', 'Crybg1', 'Rab7b', 'Hexb', 'Synb', 'Slc25a37', 'Actg1', 'Grap2', 'Raf1', 'Mbd6', 'Ddit3', 'Gramd1b', 'Rbm39', 'Serpina3n', 'Adgrl4', 'Klf4', 'Cnn1', 'Slc7a11', 'Il17ra']
Atf4	['Greb1', 'Olfr806', 'Hexb', 'Abhd6', 'Wwox', 'Aadacl2fm1', 'Setd4', 'Cbr1', 'Cldn34d', 'Gm525', 'Olfr1274', 'Atp1a3', 'Brox', 'Aida', 'Nkx2-6', 'Acot2', 'Slc29a1', 'Mymx', 'Tctex1d4', 'Htra1', 'Txndc11', 'Aldh9a1', 'Vmn2r4', 'Izumo1', 'Fut1', 'Fgf21', 'Tsc22d3', 'Tecpr1', 'Tgif1', 'Kpna1', 'Knl1', 'Yars', 'S100pbp', 'Trp53inp1', 'Mb', 'Rcc2', 'Eif3c', 'Paqr3', 'Eif3a', 'Kdm7a', 'Sars', 'Arhgap12', 'Meak7', 'Soat2', 'Igfbp6', 'Pkhd1l1', 'Npm2', 'Chd5', 'Clcn3', 'Gm128', 'Bnipl', 'Asb11', 'Mtss2', 'Ccdc69', 'Ddx19b', 'Aars', 'Adipor1', 'Cyb5r1', 'Arl14ep', 'Abraxas1', 'Lama1', 'B4galnt2', 'Sel1l', 'Col6a6', '1810013L24Rik', 'Cxadr', 'Ank2', 'Psat1', 'Sh3tc2', 'Hfe', 'Map2k1', 'Hjurp', 'A730008H23Rik', 'Cabp1', 'E030030I06Rik', 'Shmt2', 'Ndufa4l2', 'Rin1', 'Hspa5', 'Shfl', 'Angptl6', 'Gbp11', 'Gsk3b', 'Cd86', 'Tbc1d31', 'Asns', 'Cdh24', 'Olfr266', 'Ctsc', 'Vdac3', 'Pds5a', 'Nr6a1', 'Slc7a11', 'Chac1', 'Tas2r143', 'Tas2r135', 'Eif4ebp1', 'Gde1', 'Ccp110', 'Prss36']
Atf7	['Raf1', 'Kctd5', 'Jund', 'Iqcn', 'Brox', 'Aida', 'Tas2r143', 'Tas2r135', 'Cic', '2010109A12Rik', 'Ccni', 'Zfp335', 'Shcbp1', 'Tmem198', 'Chpf', 'Cct2', 'Rpl26', 'Creb5', 'Stk38l', 'Braf']
Atf7ip	['Greb1', 'Gpc2', 'Gal3st4', 'Stag3', 'Gzmc', 'Olfr806', 'Lamp1', 'L2hgdh', 'Dmac2l', 'Eif4enif1', 'Sfi1', 'Nemp1', 'Nab2', 'Hexb', 'Abhd6', 'Atp6v0c', 'Amdhd2', 'Brox', 'Aida', 'Kpna1', 'Nkx2-6', 'Mmp19', 'Aadacl2fm1', 'Wwox', 'Txndc11', 'Tekt2', 'Adprhl2', 'E030030I06Rik', 'Fcgr1', 'Mapk1', 'Setd4', 'Cbr1', 'Sympk', 'Foxa3', 'Phf23', 'Gabarap', 'Dvl2', 'Micu2', 'Rrn3']
Atm	['Cldn34d', 'Brox', 'Aida', 'Fbxw4', 'E030030I06Rik', 'Tmem125']
Atoh1	['Sult2b1', 'Hes6', 'Prss8', 'Cryba2', 'Ube2l3', 'Rimbp3', 'Slc29a1', 'Mymx', 'Mpp3', 'Cd300lg', 'Eps8l2', 'Deaf1', 'Rapgef3', 'Ablim1', 'Erbb3', 'Zfp513', 'Snx17', 'Eif2b4', 'Nr4a3', 'Kat8', 'Bckdk', 'Ptpre', 'Greb1', 'Pomgnt2', 'Cbfa2t3', 'Sertad2', 'Cpt1a', 'Unk', 'H3f3b', 'Txndc11', 'Pkn1', 'Stpg1', 'Nipal3', 'Gigyf2', 'Irf2bp1', 'Xkr4', 'Ywhaz', 'Ccdc149', 'Ovol1', 'Ap5b1', 'Nkx2-6', 'Piwil4', 'Fut4', 'Castor2', 'Ypel3', 'Tbx6', 'Gid4', 'Osbpl5', 'Hectd4', 'Ptov1', 'Fkbp8', 'Kxd1', 'Zfp433', 'Gm32687', 'Lfng', 'Fhad1', 'Usp21', 'Ufc1', 'Ppox', 'Rab11fip1', 'Ceacam16', 'Akap10', 'Zmynd8', 'Ggnbp2', 'Ndc1', 'Tor3a', 'Smim13', 'Foxo6', 'Rrbp1', 'Mpp7', 'Syngap1', 'Phf1', 'Cuta', 'Grb2', 'Mbnl2', 'Slc9a9', 'Golga7', 'Pkm', 'Nbeal2', 'Ccdc12', 'Ttll7', 'Aco1', 'Ndufa6', 'Jakmip1', 'Nol4l', 'Hnf1b', 'Lag3', 'Tprn', 'Tmem203', 'Ndor1', 'Atp8b1', 'Cdkn1a', 'Pld2', 'Camk2n1', 'Rgs17', 'Sptssa', 'Cbx5', 'Spata6', 'Ucp2', 'Mafk']
