Antigen	Genes
Atf3	['Greb1', 'Cldn34d', 'Txndc11', 'Nkx2-6', 'Muc3', 'Brox', 'Aida', 'Treml1', 'Trem2', 'Lsm10', 'Stk40', 'Prss56', 'Chrnd', 'Herpud1', 'Itga5', 'Gm42372', 'Nek4', 'Itih1']
Atf4	['Greb1', 'Olfr806', 'Hexb', 'Abhd6', 'Wwox', 'Aadacl2fm1', 'Setd4', 'Cbr1', 'Cldn34d', 'Gm525', 'Olfr1274']
Atf7	['Raf1', 'Kctd5', 'Jund', 'Iqcn', 'Brox', 'Aida', 'Tas2r143', 'Tas2r135']
Atf7ip	['Greb1', 'Gpc2', 'Gal3st4', 'Stag3', 'Gzmc', 'Olfr806', 'Lamp1', 'L2hgdh', 'Dmac2l', 'Sfi1', 'Eif4enif1', 'Nab2', 'Nemp1', 'Hexb', 'Abhd6', 'Atp6v0c', 'Amdhd2', 'Brox', 'Aida', 'Kpna1', 'Nkx2-6', 'Mmp19']
Atm	['Cldn34d', 'Brox', 'Aida', 'Fbxw4', 'E030030I06Rik', 'Tmem125']
Atoh1	['Sult2b1', 'Hes6', 'Prss8', 'Cryba2', 'Ube2l3', 'Rimbp3', 'Slc29a1', 'Mymx', 'Mpp3', 'Cd300lg', 'Eps8l2', 'Deaf1', 'Rapgef3', 'Ablim1', 'Erbb3', 'Eif2b4', 'Zfp513', 'Snx17', 'Nr4a3', 'Kat8', 'Bckdk', 'Ptpre', 'Greb1', 'Pomgnt2', 'Cbfa2t3', 'Sertad2', 'Cpt1a', 'H3f3b', 'Unk', 'Txndc11', 'Pkn1', 'Gigyf2', 'Stpg1', 'Nipal3', 'Irf2bp1', 'Xkr4', 'Ywhaz', 'Ccdc149', 'Ovol1', 'Ap5b1', 'Nkx2-6', 'Fut4', 'Piwil4', 'Castor2', 'Tbx6', 'Ypel3', 'Gid4', 'Osbpl5', 'Ptov1', 'Hectd4', 'Fkbp8', 'Kxd1', 'Zfp433', 'Gm32687', 'Lfng', 'Fhad1', 'Usp21', 'Ufc1', 'Ppox', 'Rab11fip1', 'Ceacam16', 'Akap10', 'Zmynd8', 'Ggnbp2', 'Ndc1']
Atrx	['Txndc11', 'Brox', 'Aida', 'Cldn34d', 'Greb1', 'Hexb', 'Olfr726', 'Myl3', 'Il31ra', 'Ccer1', 'Cyp2j11', 'Kcnq4', 'Lyzl1', 'Hal', 'A330070K13Rik', 'Tas2r134', 'Emp1', 'Mrgpra2a', 'Olfr433', 'Olfr432', 'Ppm1e', 'Kpna1', 'Olfr455', 'Nkx2-6', 'Olfr243', 'Dnah7b', 'Ier5', 'Olfr66', 'Tmprss6', 'Gm5114', 'Zkscan5', 'Zkscan14', 'Cd48', 'Eif4a3l1', 'Neurl1b', 'Vmn2r4', 'Osbpl1a', 'Ltk', 'Krtap24-1', 'Crp', 'LOC108168625', 'Gm21943', 'Has2', 'Ifi211', 'Nkx2-5', 'Aldh9a1', 'Vmn2r102', 'Cnksr2', 'Tcstv3', 'Mrgpra2b', 'Dusp8', 'Olfr1502', 'Atp6ap1l', 'Klra10', 'Sspn', '3110040N11Rik', 'Ncald', 'Gabra5', 'Vmn1r179', 'Gabra1', 'Cdh20', 'Syngr2', '6030468B19Rik', 'Anapc15', 'Folr1', 'Cplane2', 'Sec31a', 'Rsph3b', 'Atp13a4', 'Tmem173', 'Cacng4', 'Ptprr', 'Mrtfb', 'Eya2', 'Zfp961', 'Muc3', 'Gabrb1', 'Ifi206', 'A1cf', 'Acnat2', 'Bicc1', 'Olfr1026', 'Uaca', 'Olfr119', 'Sulf2', 'Cerk', 'Gm525', 'LOC108168609', 'Lgsn', 'Gm20917', '2310057J18Rik', 'H2-Ab1', 'Olfr1022', 'Elfn2', 'Olfr749', 'Col6a6', 'Ppp2r2b', 'Grid2', 'Gm10710', 'Dchs2']
Auts2	['Rab3gap2', 'Nup50', 'Ubr4', 'Txnl4a', 'Rbfa', 'Gmcl1', 'Ranbp3', 'Palb2', 'Dctn5', 'Upf1', 'Pomt1', 'Psma2', 'Mrpl32', 'Ints13', 'Fgfr1op2', 'Sppl2b', 'Lsm7', 'Sae1', 'Tcf23', 'Preb', 'Exoc2', 'Smarcc1', 'Sgo1', 'Rapgef6', 'Safb2', 'Safb', 'Pop7', 'Rab18', 'Shfl', 'Ppan', 'Angptl6', 'Bop1', 'Tsga10', 'Lipt1', 'Fam227a', 'Cby1', 'Mis18a', 'Tmed4', 'Ddx56', 'Tgfbr3l', 'Map2k7', 'Trim23', 'Trappc13', 'Shld3', 'Kcnn1', 'Ccdc124', 'Zxdc', 'Wrb', 'Polr2j', 'Sugp2', 'Armc6', 'Exosc2', 'Cog6', 'Ercc2', 'Yeats4', 'Tmco3', 'Dcun1d2', 'Eid1', 'Mcrs1', 'Bbs2', 'Ppfia1', 'Cnot8', 'Dpf2', 'Uqcrc1', 'Tmbim4', 'Irak3', 'Zc3h8', 'Crtc1', 'Mcph1', 'Sap18b', 'Sap18', 'Cep170', 'Fam98a', '3110040N11Rik', 'Mrpl45', 'Tubg1', 'Retreg3', 'Sdha', 'Ccdc127', 'Cep78', 'Pdcd5', 'Sdf4', 'B3galt6', 'Tubd1', 'Rps6kb1', 'Exog', 'Ipmk', 'Cisd1', 'Cldn34d', 'Ppp2r3d', 'Ift172', 'Gckr', 'Fndc4', 'Ncan', 'Stx12', 'Prrt2', 'Pagr1a', 'Mvp', 'Maz', 'Pgp']
Bach1	['Hbb-y', 'Fth1', 'Hmox1', 'Gclm', '4930503B20Rik', 'Slc48a1', 'Sod2', 'Ccl1', 'Rpl27', 'Ifi35', 'Zbtb40', 'Rab18', 'Gclc', 'Lrrc74a', 'Angel1', 'Rangap1', 'Lars2', 'Pla2g6', 'Ftl1', 'Bax', 'Arhgap10', 'Aldh2', 'Ankrd24', 'Sirt6', 'Prkab2', 'Washc2', 'Ddx20', 'Mgst2', 'Abcb6', 'Prdx1', 'Ap4e1', 'Snx1', 'Ciao2a', 'Zdhhc5', 'Ube2f', 'Ankrd55', 'March8', 'Cldn34d', 'Slc7a11', 'Armc7', 'Slc16a5', 'Atp6v0c', 'Amdhd2', 'Trmt2a', 'Ranbp1', 'Dph2', 'B4galt2', 'Atp6v0b', 'Tmem179', 'Tmem72', 'Mfsd1', 'Ilf3', 'Rspo1', 'Eif3e', 'Zmym6', 'Pak6', 'Kif3b', 'Cd1d1', 'Def8', 'Cyb5a', 'Gm17266', 'Colgalt1', 'Abcf3', 'Lamp1', 'Brf1', 'Tapbp', 'Zbtb22', 'Daxx', 'Lrp8', 'Dync1h1', 'Fbxo30', 'Mettl7a1', 'Rtraf', 'Myl4', 'Mthfr', 'Clcn6', 'Nuggc', 'Elp3', 'Rmnd1', 'Armt1', 'Wdyhv1', 'Abcc4', 'Cd276', 'Brox', 'Aida', 'Tfpt', 'Prpf31', 'Slc7a5', 'BC048644', 'Cdkn1a', 'Slc25a26', 'Cdk14', 'Zfp106', 'Snap23', 'Uck2', 'Zfp358', 'Mcoln1', 'Gpi1', 'Gstp2', 'Gstp1']
Bach2	['Top3a', 'Smcr8', 'Smarca4', 'Hbb-y', 'Ccl1', 'Hacd4', 'Rspo1', 'Sh3gl1', 'Chaf1a', 'Npas4', 'Brf1', 'Tmem63b', 'Mrpl14', 'Gclm', 'Mpp4', 'Blmh', 'Adrm1', 'Txndc11', 'Srp19', 'Gclc', 'Srxn1', 'Slc48a1', 'Lrp8', 'Cd276', 'Fth1', 'Trib3', 'Cdc42bpg', 'Bend4', 'Brox', 'Aida', 'Tatdn1', 'Ndufb9', 'Zfp652', 'Ankrd55', 'Ccl3', 'Sod2', 'Cd300c', 'Rhebl1', 'Kmt2d', 'Glipr1', 'Gas7', 'Gm17359', 'Hmox1', 'Cdkn1a', 'Txlnb', 'Uck2', 'Cd82', 'Tbce', 'Fbp1', 'Cela1', 'Arhgap10', 'Slc7a5', 'BC048644', 'Snrnp35', 'Rilpl2', 'Cldn34d', 'Gpi1', 'Nbeal2', 'Notch3', 'Pla2g6', 'Tcp11', 'Rhbdf2', 'Snrpc', 'Ap1g1', 'Mad1l1', 'Atp6v0e2', 'Proc', 'Clec9a', 'Clec1b', 'Mmp9', 'Panx1', 'Il12rb1', 'Kbtbd7', 'C77080', 'Midn', 'Atp5d', 'Bin2', 'Ttc22', 'Ly96', 'Slc36a1', 'Il10', 'Mafk', 'Npcd', 'Cbx6', 'Tigd4', 'Glrx', 'Slc15a3', 'Arid3b', 'Ube2v1', 'Slc25a33', 'Rapsn', 'Txnrd1', 'Eid3', 'Tbc1d31', 'Prkag2', 'Mrpl38', 'Slc9a1', 'Zmynd10', 'Rassf1', 'Nprl2']
