TF	C(organ)	C(dev_stage)	C(organ):C(dev_stage)
Srsf1	1.2679584098667108e-06	0.01762271173285013	0.0040050356059237215
Srsf2	1.4208038400232074e-06	0.01762271173285013	0.0040050356059237215
Ss18	8.379953868069786e-08	0.01762271173285013	0.0040050356059237215
Stag1	1.144966879284771e-08	0.01762271173285013	0.0040050356059237215
Stag2	1.0501556257170877e-08	0.01762271173285013	0.0040050356059237215
Ep300	6.512168560747098e-09	0.01762271173285013	0.0040050356059237215
Ep400	3.4057155048713294e-06	0.01762271173285013	0.0040050356059237215
Epop	6.975094160996297e-08	0.01762271173285013	0.0040050356059237215
Ercc3	7.772926501622517e-07	0.01762271173285013	0.0040050356059237215
Erg	1.4582606640860477e-08	0.01762271173285013	0.0040050356059237215
Esr1	1.2602970330241989e-08	0.01762271173285013	0.0040050356059237215
Esrra	7.43925519982576e-08	0.01762271173285013	0.0040050356059237215
Esrrb	1.2088075886608387e-08	0.01762271173285013	0.0040050356059237215
Foxh1	3.1214170545002656e-08	0.01762271173285013	0.0040050356059237215
Foxk1	1.9470364229300507e-05	0.01762271173285013	0.0040050356059237215
Foxl2	1.8886427915298768e-06	0.01762271173285013	0.0040050356059237215
Bap1	1.1788797643656836e-05	0.01762271173285013	0.0040050356059237215
Arntl	1.7688763286783785e-07	0.01762271173285013	0.0040050356059237215
Foxo3	6.725345996679926e-08	0.01762271173285013	0.0040050356059237215
Foxp1	5.861548788177812e-08	0.01762271173285013	0.0040050356059237215
Foxp3	1.0614987208411892e-06	0.01762271173285013	0.0040050356059237215
Gabpa	2.800021432908867e-06	0.01762271173285013	0.0040050356059237215
Gadd45a	9.574862700356573e-06	0.01762271173285013	0.0040050356059237215
Gata1	3.902140508032137e-07	0.01762271173285013	0.0040050356059237215
Egr1	3.4376270238184496e-08	0.01762271173285013	0.0040050356059237215
Dmc1	2.091409894308256e-08	0.01762271173285013	0.0040050356059237215
Eed	4.584264626649018e-12	0.01762271173285013	0.0040050356059237215
Ebf2	1.1622713081755359e-08	0.01762271173285013	0.0040050356059237215
Erf	6.872982286796164e-07	0.01762271173285013	0.0040050356059237215
Ell3	1.7976650411036733e-07	0.01762271173285013	0.0040050356059237215
Ehmt2	3.16495104618923e-09	0.01762271173285013	0.0040050356059237215
Ehf	1.680824858028907e-09	0.01762271173285013	0.0040050356059237215
Egr2	2.073200530627433e-06	0.01762271173285013	0.0040050356059237215
Dppa4	3.176357843063657e-08	0.01762271173285013	0.0040050356059237215
Dpy30	3.4621822961780262e-06	0.01762271173285013	0.0040050356059237215
Dr1	9.602325110565432e-09	0.01762271173285013	0.0040050356059237215
Duxbl1	1.1020210190731909e-08	0.01762271173285013	0.0040050356059237215
E2f1	3.3734544193116263e-06	0.01762271173285013	0.0040050356059237215
Asxl1	2.9021159645883758e-06	0.01762271173285013	0.0040050356059237215
E2f3	4.4110850993349924e-07	0.01762271173285013	0.0040050356059237215
E2f4	4.0496944068266734e-06	0.01762271173285013	0.0040050356059237215
E4f1	9.533238100792815e-06	0.01762271173285013	0.0040050356059237215
Ebf1	9.717707075085663e-09	0.01762271173285013	0.0040050356059237215
Ebf4	9.309020160137649e-08	0.01762271173285013	0.0040050356059237215
Dmrt1	2.510328666982656e-08	0.01762271173285013	0.0040050356059237215
Dmrtb1	1.0004516874516413e-06	0.01762271173285013	0.0040050356059237215
Dnajc2	1.2750305784563402e-08	0.01762271173285013	0.0040050356059237215
Lyl1	3.853887467728242e-09	0.01762271173285013	0.0040050356059237215
Ikzf3	2.3762692064288468e-06	0.01762271173285013	0.0040050356059237215
Irf4	2.2537777412710515e-08	0.01762271173285013	0.0040050356059237215
Bach2	7.749364606189038e-07	0.01762271173285013	0.0040050356059237215
Gtf2b	3.5132924426248145e-07	0.01762271173285013	0.0040050356059237215
Hopx	1.5162101468631443e-05	0.01762271173285013	0.0040050356059237215
Lmo2	3.4428302658743903e-07	0.01762271173285013	0.0040050356059237215
Hnrnpu	1.388861872689358e-06	0.01762271173285013	0.0040050356059237215
Gtf2f1	2.5334385012782808e-06	0.01762271173285013	0.0040050356059237215
Gtf3c1	6.352087383925486e-08	0.01762271173285013	0.0040050356059237215
Hnrnpl	2.88463003586023e-07	0.01762271173285013	0.0040050356059237215
Ar	2.7562903347775478e-08	0.01762271173285013	0.0040050356059237215
Arid1a	2.7068540338343567e-08	0.01762271173285013	0.0040050356059237215
Hnf4g	1.8344970350209998e-07	0.01762271173285013	0.0040050356059237215
