TF	Variance explained	Nr of genes
Irf7	0.4510040204744156	970
Irf8	0.41898800219214166	12495
Irf9	0.4319829736815655	9101
Isl1	0.4469870597668197	15471
Jarid2	0.4711841594941866	10999
Jmjd1c	0.4598105655081624	309
Jmjd6	0.43155032251207237	3682
Jun	0.43119034223637354	15949
Junb	0.41911489839567867	12296
Jund	0.4289261965665703	15863
Kansl3	0.4831528986332826	7797
Kat2a	0.4339186859361163	10951
Kat2b	0.4260393961427078	54
Kat5	0.45007238653809656	11488
Kat8	0.46220700568798134	7937
Kdm1a	0.4394306444771969	17138
Kdm2a	0.47360422399062396	7509
Kdm2b	0.46029772759325643	14302
Kdm3a	0.403937369696497	112
Kdm3b	0.40838551108393023	57
Kdm4a	0.5237105958715628	3966
Kdm4c	0.4414279472948593	17471
Kdm4d	0.4607687777406468	43
Kdm5a	0.442699155248846	12636
Kdm5b	0.37455849527619534	92
Kdm5c	0.47895335036378145	973
Kdm6a	0.458277342365162	8541
Kdm6b	0.45776604659647774	10841
Klf3	0.44658716837306334	8357
Klf4	0.4437601242430533	16032
Klf5	0.43735175720597813	10214
Klf6	0.43931316636761364	392
Klf9	0.4531408370807527	1748
Kmt2a	0.4338696817461983	12094
Kmt2b	0.45883238645955715	14707
Kmt2c	0.4425845879350732	15214
Kmt2d	0.4389499350568563	15919
L3mbtl2	0.46582231444632444	262
Ldb1	0.4533931986457498	6638
Lef1	0.4139504568958074	167
Leo1	0.4128261586564743	1810
Lhx2	0.4717986193705598	2736
Lhx3	0.4543277286476524	6179
Lhx6	0.44570067023333165	1802
Lin9	0.4376694340323529	2295
Lmnb1	0.44704895213216217	1209
Lmo2	0.4272483950248054	12772
Lmx1b	0.4080000951973278	65
Lrrfip1	0.4961719951827251	1482
Lyl1	0.38884997460223364	2729
Maf	0.41502926953821806	7099
Mafa	0.4302548296910053	2440
Mafb	0.40575268327350245	6803
Maff	0.42802074728852524	8797
Mafg	0.41129730270420334	275
Mafk	0.4222470492565339	12705
Mapk8	0.4908369747462072	4842
Max	0.43733949628241836	14855
Maz	0.42987189086093125	12346
Mbd1	0.5025686500914857	592
Mbd2	0.4282297323755212	157
Mbd3	0.4490595576146379	15994
Mcrs1	0.47439417132463013	8575
Mecp2	0.4283281017397016	15831
Med1	0.43605356842079435	17020
Med12	0.4455445243908128	15282
Med23	0.3685272175865001	249
Med24	0.4491026568577385	13112
Med26	0.44888245211970046	12111
Mef2a	0.48650163298852667	1779
Mef2c	0.4376710591858345	13880
Mef2d	0.4390333548898257	4241
Meis1	0.4354964937310755	16157
Men1	0.4486781826004878	11079
Mettl3	0.44564668367531013	15760
Mitf	0.42130225548052697	3170
Mllt3	0.42728977826170456	50
Mnx1	0.41067902882451024	411
Morc3	0.46488522681598227	527
Mphosph8	0.44928632352770853	1191
Mpnd	0.3682314037501129	19
Msl1	0.46107867697924715	1415
Msl2	0.45726771809653965	5664
Mta1	0.45418690362962066	61
Mta2	0.44118896040752464	14211
Mtf2	0.5297854878358852	6027
Mtor	0.42978302830197707	2005
Mxi1	0.4301955574881084	12988
Myb	0.42653876047229766	7768
Mybl1	0.4459091052815722	4074
Myc	0.4370812552158722	18043
Mycn	0.4661884793971031	5493
Myf5	0.4359520822335227	12079
Myo1c	0.4507694953831881	47
Myod1	0.44184990833410903	15386
Myog	0.44434989306289085	12883
Myt1	0.3878112287872779	139
Myt1l	0.43992150647267775	2591
Naa10	0.40646129042852225	85
Nacc1	0.5079246820273182	281
Nanog	0.43754383372444344	18070
Nap1l1	0.45356532437070046	2423
Nbn	0.4588464052274564	665
Ncapd3	0.4567318060593148	9013
Ncapg	0.3902914026411161	98
Ncaph2	0.4593772661505354	13118
Ncoa2	0.4267024054087522	10825
Ncoa3	0.39474972940160236	2433
Ncor1	0.42920108290379755	15756
Ncor2	0.45299960304100906	14736
Nelfa	0.44742051735353866	13202
Nelfb	0.4557410000680279	9558
Nelfe	0.42796939250308685	12969
Neurod1	0.4478683324927355	13998
Neurod2	0.4492909874738978	15276
Neurog2	0.4499328773446079	15089
Nfat5	0.44281307513371915	178
Nfatc1	0.42525752300731307	2032
Nfatc2	0.39621994281693457	2687
Nfe2	0.40353792987576215	2233
Nfe2l1	0.4134571256035564	1527
Nfe2l2	0.44989928140930985	6323
Nfia	0.45023495077587616	6667
Nfib	0.4298210114071273	13131
Nfic	0.5008929922587695	86
Nfil3	0.3967728622592343	5435
Nfkb1	0.4209605268000059	1432
Nfya	0.44197327125018687	4564
Nfyb	0.4221782806613273	2415
Nfyc	0.41833386220909247	2553
Nipbl	0.43836812381867196	15267
Nkx2-1	0.430925422499174	6779
Nkx2-2	0.4580813915081416	8567
Nkx2-5	0.447044829146693	8508
Nkx3-1	0.4273771191710254	7668
Nkx3-2	0.4530224650542251	629
Nkx6-1	0.4538295650002838	10816
Nlrc5	0.4486142571629363	456
Nlrp3	0.5456753793507456	5
Nono	0.4864362343637001	94
Notch1	0.43955962508503765	10151
Npas3	0.4614376449847877	9117
Nr0b1	0.43346234733859906	7229
Nr0b2	0.4678997485526876	1332
Nr1d1	0.42982394564063164	14029
Nr1d2	0.395166378959785	1948
Nr1h2	0.42550081116953464	12287
