TF,C(organ),C(dev_stage),C(organ):C(dev_stage)
Cbx7,4.781631790517463e-06,0.049624201478985844,0.005299888804823993
Cbx8,0.00011789294477450416,0.049624201478985844,0.005299888804823993
Ccnk,0.00018513293796752978,0.049624201478985844,0.005299888804823993
Ccnt1,0.0006396658129296218,0.049624201478985844,0.005299888804823993
Cdc73,9.950569294042795e-06,0.049624201478985844,0.005299888804823993
Cdk8,8.549684127488501e-05,0.049624201478985844,0.005299888804823993
Cdk9,0.00015128098916934873,0.049624201478985844,0.005299888804823993
Cdx2,8.932638346603084e-06,0.049624201478985844,0.005299888804823993
Cebpa,8.341437722059869e-06,0.049624201478985844,0.005299888804823993
Cebpb,8.546301239512551e-06,0.049624201478985844,0.005299888804823993
Cebpd,4.7542701029356065e-05,0.049624201478985844,0.005299888804823993
Cebpe,0.00017639516877287608,0.049624201478985844,0.005299888804823993
Cebpg,0.00010882867743150183,0.049624201478985844,0.005299888804823993
Chaf1b,0.0005883960147058053,0.049624201478985844,0.005299888804823993
Chd1,0.00030461763934784753,0.049624201478985844,0.005299888804823993
Chd2,0.00012458407644702177,0.049624201478985844,0.005299888804823993
Chd4,8.341437722059869e-06,0.049624201478985844,0.005299888804823993
Chd7,0.0002839453327404257,0.049624201478985844,0.005375259141699051
Chd8,0.0001810566732568435,0.049624201478985844,0.005299888804823993
Clock,0.00011506690649549581,0.049624201478985844,0.005299888804823993
Creb1,9.881729323427872e-06,0.049624201478985844,0.005299888804823993
Creb3l2,0.0004993928935265331,0.049624201478985844,0.005312464242106953
Crebbp,8.937772025854579e-06,0.049624201478985844,0.005299888804823993
Crtc2,8.417478951711478e-05,0.049624201478985844,0.005299888804823993
Crx,4.4492055021215225e-05,0.049624201478985844,0.005299888804823993
Cry1,1.461075954988463e-05,0.049624201478985844,0.005299888804823993
Ctcf,8.221206274165344e-06,0.049624201478985844,0.005299888804823993
Ctcfl,9.839240557567796e-06,0.049624201478985844,0.005299888804823993
Ctnnb1,6.750142514132312e-05,0.049624201478985844,0.005299888804823993
Ctr9,0.00022361894756989925,0.049624201478985844,0.005361507615173068
Cux2,5.410000877054121e-07,0.051599209915245664,0.005299888804823993
Cxxc1,2.9234201046976066e-05,0.049624201478985844,0.005299888804823993
Cxxc5,0.00027806992328685196,0.049624201478985844,0.005765079545352699
Daxx,6.478671240522625e-05,0.049624201478985844,0.005520710448464421
Ddit3,0.0001119044470970683,0.049624201478985844,0.005299888804823993
Ddx21,2.531309953969116e-05,0.049624201478985844,0.005299888804823993
Ddx5,3.455671192743777e-05,0.049624201478985844,0.005299888804823993
Dgcr8,8.985995275128219e-05,0.049624201478985844,0.00596417647692415
Dicer1,7.074787269449897e-05,0.04982236756538212,0.005299888804823993
Dlx1,0.00011620747909467522,0.049624201478985844,0.005520710448464421
Dlx3,0.0002508044642266591,0.049624201478985844,0.005299888804823993
Dmap1,0.00027500327100655385,0.049624201478985844,0.005299888804823993
Dmc1,9.940916579166384e-06,0.049624201478985844,0.005299888804823993
Dmrt1,1.0666122987770082e-05,0.049624201478985844,0.005299888804823993
Dmrtb1,4.5933794958371675e-05,0.049624201478985844,0.005299888804823993
Dnajc2,9.696825599417976e-06,0.049624201478985844,0.005299888804823993
Dnmt3a,8.467113138118046e-05,0.050075606142439506,0.005299888804823993
Dnmt3b,6.823324796105722e-06,0.049624201478985844,0.005299888804823993
Dpf2,8.341437722059869e-06,0.049624201478985844,0.005299888804823993
Dppa2,8.840337555419026e-06,0.049624201478985844,0.005299888804823993
Dppa4,1.0666122987770082e-05,0.049624201478985844,0.005299888804823993
Dpy30,9.195276941205702e-05,0.049624201478985844,0.005299888804823993
Dr1,8.341437722059869e-06,0.049624201478985844,0.005299888804823993
Drosha,0.001751419197644164,0.04982236756538212,0.005299888804823993
Duxbl1,8.546301239512551e-06,0.049624201478985844,0.005299888804823993
E2f1,0.0001081350863222594,0.049624201478985844,0.005308256462472974
E2f3,3.601432977000953e-05,0.049624201478985844,0.005299888804823993
E2f4,0.00015321108794003185,0.049624201478985844,0.005299888804823993
E4f1,0.00017639516877287608,0.049624201478985844,0.005299888804823993
Ebf1,8.666790083262996e-06,0.049624201478985844,0.005299888804823993
Ebf2,8.620168689630599e-06,0.049624201478985844,0.005299888804823993
Ebf4,1.4295378519673409e-05,0.049624201478985844,0.005299888804823993
Eed,7.479009963109472e-07,0.049624201478985844,0.005299888804823993
Egr1,4.0809060376503115e-05,0.049624201478985844,0.005299888804823993
Egr2,9.376538310341881e-05,0.049624201478985844,0.005299888804823993
Ehf,4.745712072825566e-06,0.049624201478985844,0.005299888804823993
Ehmt2,8.11686820090842e-06,0.049624201478985844,0.005299888804823993
Elf1,0.000218666023749219,0.049624201478985844,0.005299888804823993
Elf4,0.00016978209364408117,0.049624201478985844,0.005299888804823993
Elf5,2.5632551338044007e-05,0.049624201478985844,0.005299888804823993
Elk1,0.00043794004400150675,0.049624201478985844,0.005299888804823993
Elk3,0.0001051294490700172,0.049624201478985844,0.005299888804823993
Elk4,7.257039136560559e-05,0.049624201478985844,0.005299888804823993
Ell,3.51592583193101e-05,0.049624201478985844,0.005939108406738806
Ell2,3.10858555469631e-05,0.049624201478985844,0.0054605231969383295
Ell3,2.3204755138613332e-05,0.049624201478985844,0.005551902878563767
Elob,0.00045667160957711835,0.049624201478985844,0.005299888804823993
Eomes,1.1720870000308106e-05,0.049624201478985844,0.005299888804823993
